altitude_m,altitude_ft,temperature_K,temperature_C,pressure_Pa,pressure_hPa,density_kg_m3,speed_of_sound_m_s,dynamic_viscosity_Pa_s
23000,75459.3,219.650,-53.500,3422.4628,34.224628,0.054280,297.1081,1.4380e-05
23500,77099.7,220.150,-53.000,3166.6770,31.666770,0.050109,297.4460,1.4407e-05
24000,78740.2,220.650,-52.500,2930.5243,29.305243,0.046267,297.7836,1.4434e-05
24500,80380.6,221.150,-52.000,2712.4584,27.124584,0.042727,298.1208,1.4462e-05
25000,82021.0,221.650,-51.500,2511.0576,25.110576,0.039466,298.4576,1.4489e-05
25500,83661.4,222.150,-51.000,2325.0150,23.250150,0.036459,298.7941,1.4516e-05
26000,85301.8,222.650,-50.500,2153.1288,21.531288,0.033688,299.1302,1.4543e-05
26500,86942.3,223.150,-50.000,1994.2935,19.942935,0.031133,299.4658,1.4570e-05
27000,88582.7,223.650,-49.500,1847.4923,18.474923,0.028777,299.8012,1.4598e-05
27500,90223.1,224.150,-49.000,1711.7895,17.117895,0.026604,300.1361,1.4625e-05
28000,91863.5,224.650,-48.500,1586.3240,15.863240,0.024599,300.4707,1.4652e-05
28500,93503.9,225.150,-48.000,1470.3032,14.703032,0.022749,300.8048,1.4679e-05
29000,95144.4,225.650,-47.500,1362.9977,13.629977,0.021042,301.1387,1.4706e-05
29500,96784.8,226.150,-47.000,1263.7354,12.637354,0.019467,301.4721,1.4733e-05
